Name,Object,Category,Sub-Category,Data Type,Raw Data Provenance,OII v1 Criteria
Dependent projects,Project,Build,Package Management,[Proj],Git / Github / Package Managers,
Depending projects,Project,Build,Package Management,[Proj],Git / Github / Package Managers,
Platforms available,Project,Build,Compilation Platforms,[Platforms],Make files,
Public Code Repository,Project,Development,Code,Maybe URL,Home Page,T-TD-COD
Code Available on Request,Project,Development,Code,Bool,Home Page,T-TD-COR
Public Issue Tracker,Project,Development,Collaboration,Maybe URL,Home Page,T-TD-TRA
Activity of Issue Tracker,Project,Development,Collaboration,,,T-TD-ATR
Issue tracker comments activity,Project,Development,Collaboration,"[(Int, Period)]",Trac / Github / ...,
Diversity of collaborators,Project,Development,Collaboration,,,
Issues submitted,Contributor,Development,Contributor Activity,"[(Int, Period)]",Trac / Github / ...,
Issues commented on,Contributor,Development,Contributor Activity,"[(Int, Period)]",Trac / Github / ...,
Issues closed,Contributor,Development,Contributor Activity,"[(Int, Period)]",Trac / Github / ...,
Issues tagged,Contributor,Development,Contributor Activity,"[(Int, Period)]",Trac / Github / ...,
Tests committed,Contributor,Development,Contributor Activity,"[(Int, Period)]",Trac / Github / ...,
Developer Documentation committed,Contributor,Development,Contributor Activity,"[(Int, Period)]",Trac / Github / ...,
Diagram committed,Contributor,Development,Contributor Activity,"[(Int, Period)]",Trac / Github / Wiki ...,
User Documentation committed,Contributor,Development,Contributor Activity,"[(Int, Period)]",Trac / Github / ...,
Code committed,Contributor,Development,Contributor Activity,"[(Int, Period)]",Trac / Github / ...,
Commercial support available,Project,Ecosystem,Service Providers,Bool || [Orgs],Home page,
Training available,Project,Ecosystem,Service Providers,Bool || [Orgs],Home page,
Support request cycle time,Project,Development,Support,"[(Duration, Period)]",github / ZenDesk / Get Satisfaction / ...,
Support request cycle time - Bug,Project,Development,Support,"[(Duration, Period)]",github / ZenDesk / Get Satisfaction / ...,
Support request cycle time - Feature Request,Project,Development,Support,"[(Duration, Period)]",github / ZenDesk / Get Satisfaction / ...,
Support request cycle time - Question,Project,Development,Support,"[(Duration, Period)]",github / ZenDesk / Get Satisfaction / ...,
Other disaggregated support topics (Installation / Configuration / Performance / Security / ...),,,,"[(Duration, Period)]",,
Code commit frequency,Project,Development,Code,"[(Int, Period)]",Git / ...,
Code commit size ,Project,Development,Code,"[(Int, Period)]",Git / ...,
Code diversity,Project,Development,Code,,Git / ...,
Frontend code size,Project,Development,Code,"[(Int, Period)]",Git / ...,
Backend code size,Project,Development,Code,"[(Int, Period)]",Git / ...,
Build/Deployment code size,Project,Development,Code,"[(Int, Period)]",Git / ...,
